date,version,asset,os,arch,downloads,published_at
2026-09-12,v0.3.2,feint-linux-amd64,linux,amd64,1,2026-08-03T16:54:12Z
2026-09-12,v0.3.2,feint-linux-arm64,linux,arm64,0,2026-08-03T16:54:12Z
2026-09-12,v0.3.3,feint-darwin-amd64,darwin,amd64,0,2026-08-04T17:56:40Z
2026-09-12,v0.3.3,feint-darwin-arm64,darwin,arm64,0,2026-08-04T17:56:40Z
2026-09-12,v0.3.3,feint-linux-amd64,linux,amd64,1,2026-08-04T17:56:40Z
2026-09-12,v0.3.3,feint-linux-arm64,linux,arm64,0,2026-08-04T17:56:40Z
2026-09-12,v0.4.0,feint-darwin-amd64,darwin,amd64,1,2026-08-07T15:53:02Z
2026-09-12,v0.4.0,feint-darwin-arm64,darwin,arm64,1,2026-08-07T15:53:02Z
2026-09-12,v0.4.0,feint-linux-amd64,linux,amd64,1,2026-08-07T15:53:02Z
2026-09-12,v0.4.0,feint-linux-arm64,linux,arm64,1,2026-08-07T15:53:02Z
2026-09-12,v0.4.1,feint-darwin-amd64,darwin,amd64,3,2026-08-07T19:19:51Z
2026-09-12,v0.4.1,feint-darwin-arm64,darwin,arm64,3,2026-08-07T19:19:51Z
2026-09-12,v0.4.1,feint-linux-amd64,linux,amd64,2,2026-08-07T19:19:51Z
2026-09-12,v0.4.1,feint-linux-arm64,linux,arm64,2,2026-08-07T19:19:51Z
2026-09-12,v0.5.0,feint-darwin-amd64,darwin,amd64,1,2026-08-08T16:00:12Z
2026-09-12,v0.5.0,feint-darwin-arm64,darwin,arm64,1,2026-08-08T16:00:12Z
2026-09-12,v0.5.0,feint-linux-amd64,linux,amd64,2,2026-08-08T16:00:12Z
2026-09-12,v0.5.0,feint-linux-arm64,linux,arm64,1,2026-08-08T16:00:12Z
2026-09-12,v0.6.0,feint-darwin-amd64,darwin,amd64,1,2026-08-09T18:33:49Z
2026-09-12,v0.6.0,feint-darwin-arm64,darwin,arm64,1,2026-08-09T18:33:49Z
2026-09-12,v0.6.0,feint-linux-amd64,linux,amd64,4,2026-08-09T18:33:49Z
2026-09-12,v0.6.0,feint-linux-arm64,linux,arm64,1,2026-08-09T18:33:49Z
2026-09-12,v0.7.0,feint-darwin-amd64,darwin,amd64,0,2026-08-10T19:15:09Z
2026-09-12,v0.7.0,feint-darwin-arm64,darwin,arm64,0,2026-08-10T19:15:09Z
2026-09-12,v0.7.0,feint-linux-amd64,linux,amd64,70,2026-08-10T19:15:09Z
2026-09-12,v0.7.0,feint-linux-arm64,linux,arm64,0,2026-08-10T19:15:09Z
2026-09-12,v0.7.1,feint-darwin-amd64,darwin,amd64,0,2026-08-11T13:30:27Z
2026-09-12,v0.7.1,feint-darwin-arm64,darwin,arm64,0,2026-08-11T13:30:27Z
2026-09-12,v0.7.1,feint-linux-amd64,linux,amd64,1,2026-08-11T13:30:27Z
2026-09-12,v0.7.1,feint-linux-arm64,linux,arm64,0,2026-08-11T13:30:27Z
2026-09-12,v0.7.2,feint-darwin-amd64,darwin,amd64,0,2026-08-11T19:27:11Z
2026-09-12,v0.7.2,feint-darwin-arm64,darwin,arm64,0,2026-08-11T19:27:11Z
2026-09-12,v0.7.2,feint-linux-amd64,linux,amd64,1,2026-08-11T19:27:11Z
2026-09-12,v0.7.2,feint-linux-arm64,linux,arm64,0,2026-08-11T19:27:11Z
2026-09-12,v0.7.3,feint-darwin-amd64,darwin,amd64,1,2026-08-13T13:14:59Z
2026-09-12,v0.7.3,feint-darwin-arm64,darwin,arm64,1,2026-08-13T13:14:59Z
2026-09-12,v0.7.3,feint-linux-amd64,linux,amd64,36,2026-08-13T13:14:59Z
2026-09-12,v0.7.3,feint-linux-arm64,linux,arm64,0,2026-08-13T13:14:59Z
2026-09-12,v0.8.0,feint-darwin-amd64,darwin,amd64,2,2026-08-14T08:57:16Z
2026-09-12,v0.8.0,feint-darwin-arm64,darwin,arm64,0,2026-08-14T08:57:16Z
2026-09-12,v0.8.0,feint-linux-amd64,linux,amd64,73,2026-08-14T08:57:16Z
2026-09-12,v0.8.0,feint-linux-arm64,linux,arm64,2,2026-08-14T08:57:16Z
2026-09-12,v0.9.0,feint-darwin-amd64,darwin,amd64,1,2026-08-18T20:04:08Z
2026-09-12,v0.9.0,feint-darwin-arm64,darwin,arm64,0,2026-08-18T20:04:08Z
2026-09-12,v0.9.0,feint-linux-amd64,linux,amd64,70,2026-08-18T20:04:08Z
2026-09-12,v0.9.0,feint-linux-arm64,linux,arm64,1,2026-08-18T20:04:08Z
